button press for z-direction,X Payload Deflection (mm),X Crane Position (mm),X Actual Velocity (mm/sec),Z-axis actual position,button press for x-direction,Time Y-dir (sec),Y Payload Deflection (mm),Y Crane Position (mm),Y Actual Velocity (mm/sec),Z-axis actual velocity,button press for y direction
0,-43,-331,41,1729,0,4.948175,8,-608,-10,0,0
0,-43,-329,42,1729,0,4.998961,8,-608,-12,0,0
0,-43,-327,43,1729,0,5.04994,8,-609,-14,0,0
0,-43,-325,43,1729,0,5.101012,8,-610,-16,0,0
0,-43,-323,44,1729,0,5.151826,10,-611,-16,0,0
0,-42,-320,45,1729,0,5.202992,10,-612,-18,0,0
0,-42,-318,45,1729,0,5.254166,10,-612,-18,0,0
0,-42,-316,46,1729,0,5.304968,10,-613,-20,0,0
0,-42,-313,47,1729,0,5.356088,10,-614,-20,0,0
0,-41,-311,47,1729,0,5.40718,10,-615,-20,0,0
0,-41,-309,48,1729,0,5.458011,10,-617,-20,0,0
0,-41,-306,49,1729,0,5.508962,10,-618,-20,0,0
0,-41,-304,49,1729,0,5.56014,10,-618,-18,0,0
0,-41,-301,50,1729,0,5.610992,10,-619,-18,0,0
0,-39,-299,50,1729,0,5.662042,10,-620,-16,0,0
0,-39,-296,51,1729,0,5.71323,8,-621,-14,0,0
0,-39,-293,52,1729,0,5.76407,8,-622,-12,0,0
0,-39,-291,52,1729,0,5.865913,8,-622,-10,0,0
0,-38,-288,53,1729,0,5.865913,7,-623,-8,0,0
0,-38,-285,53,1729,0,5.916965,7,-623,-6,0,0
0,-38,-282,54,1729,0,5.968015,7,-623,-4,0,0
0,-38,-280,54,1729,0,6.01927,7,-623,-2,0,0
0,-38,-277,55,1729,0,6.070057,7,-623,0,0,0
0,-38,-274,55,1729,0,6.121266,7,-623,2,0,0
0,-38,-271,56,1729,0,6.223157,7,-623,4,0,0
0,-38,-268,56,1729,0,6.223157,7,-623,8,0,0
0,-38,-266,57,1729,0,6.274105,6,-622,10,0,0
0,-38,-263,57,1729,0,6.325247,6,-622,12,0,0
0,-38,-260,58,1729,0,6.376053,6,-621,12,0,0
0,-38,-257,58,1729,0,6.427152,7,-620,14,0,0
0,-38,-254,58,1729,0,6.478283,7,-619,16,0,0
0,-38,-251,59,1729,0,6.529117,7,-619,16,0,0
0,-39,-248,59,1729,0,6.580048,7,-618,18,0,0
0,-39,-245,60,1729,0,6.631366,8,-617,18,0,0
0,-39,-242,60,1729,0,6.682071,8,-616,18,0,0
0,-38,-238,61,1729,0,6.733211,8,-615,18,0,0
0,-38,-235,60,1729,0,6.784326,10,-614,18,0,0
0,-38,-232,61,1729,0,6.835166,10,-613,18,0,0
0,-39,-229,62,1729,0,6.886236,12,-612,16,0,0
0,-39,-226,62,1729,0,6.937373,12,-611,16,0,0
0,-39,-223,63,1729,0,6.988662,13,-611,14,0,0
0,-39,-220,63,1729,0,7.039239,14,-610,14,0,0
0,-39,-216,63,1729,0,7.090316,14,-609,12,0,0
0,-38,-213,64,1729,0,7.141238,16,-609,10,0,0
0,-38,-210,64,1729,0,7.192196,16,-608,8,0,0
0,-38,-207,64,1729,0,7.243434,17,-608,6,0,0
0,-38,-203,64,1729,0,7.294198,18,-608,4,0,0
0,-38,-200,65,1729,0,7.345325,19,-608,2,0,0
0,-38,-197,65,1729,0,7.396429,19,-608,0,0,0
0,-38,-193,65,1729,0,7.447249,19,-608,-2,0,0
0,-38,-190,66,1729,0,7.49829,20,-608,-4,0,0
0,-38,-187,66,1729,0,7.549434,20,-608,-6,0,0
0,-38,-183,66,1729,0,7.60017,20,-609,-8,0,0
0,-38,-180,66,1729,0,7.651447,20,-609,-10,0,0
0,-38,-177,66,1729,0,7.70241,20,-610,-12,0,0
0,-38,-173,67,1729,0,7.753412,20,-610,-14,0,0
0,-38,-170,67,1729,0,7.804293,20,-611,-14,0,0
0,-38,-166,67,1729,0,7.855442,19,-612,-16,0,0
0,-38,-163,67,1729,0,7.906267,19,-613,-16,0,0
0,-38,-159,67,1729,0,7.957435,18,-614,-16,0,0
0,-38,-156,68,1729,0,8.008419,17,-614,-18,0,0
0,-38,-153,68,1729,0,8.059397,16,-615,-18,0,0
0,-38,-149,68,1729,0,8.110404,14,-616,-16,0,0
0,-38,-146,68,1729,0,8.161621,13,-617,-16,0,0
0,-38,-142,68,1729,0,8.212369,10,-618,-16,0,0
0,-38,-139,68,1729,0,8.263495,8,-619,-14,0,0
0,-38,-135,68,1729,0,8.31464,7,-619,-14,0,0
0,-38,-132,69,1729,0,8.365449,6,-620,-12,0,0
0,-38,-128,69,1729,0,8.416411,4,-620,-10,0,0
0,-39,-125,69,1729,0,8.467591,2,-621,-8,0,0
0,-39,-121,69,1729,0,8.518855,1,-621,-8,0,0
0,-39,-118,69,1729,0,8.569521,0,-622,-6,0,0
0,-39,-114,69,1729,0,8.620712,-1,-622,-4,0,0
0,-39,-111,69,1729,0,8.671471,-2,-622,-2,0,0
0,-39,-107,69,1729,0,8.722533,-6,-622,0,0,0
0,-39,-104,69,1729,0,8.773718,-7,-622,2,0,0
0,-39,-100,69,1729,0,8.82439,-7,-622,4,0,0
0,-39,-97,69,1729,0,8.875581,-8,-621,6,0,0
0,-39,-93,69,1729,0,8.926656,-10,-621,8,0,0
0,-39,-89,69,1729,0,8.97755,-10,-621,10,0,0
0,-39,-86,69,1729,0,9.028592,-10,-620,12,0,0
0,-39,-82,69,1729,0,9.079843,-10,-619,12,0,0
0,-39,-79,69,1729,0,9.130622,-10,-619,14,0,0
0,-39,-75,69,1729,0,9.232808,-8,-618,14,0,0
0,-41,-72,69,1729,0,9.232808,-7,-617,16,0,0
0,-41,-68,69,1729,0,9.283941,-6,-616,16,0,0
0,-41,-65,69,1729,0,9.385626,-5,-616,16,0,0
0,-41,-61,68,1729,0,9.385626,-4,-615,16,0,0
0,-41,-58,68,1729,0,9.43666,-2,-614,16,0,0
0,-41,-54,68,1729,0,9.487762,0,-613,14,0,0
0,-39,-51,68,1729,0,9.538922,1,-612,14,0,0
0,-39,-48,68,1729,0,9.589715,6,-612,14,0,0
0,-39,-44,68,1729,0,9.640735,8,-611,12,0,0
0,-39,-41,68,1729,0,9.691979,11,-611,10,0,0
0,-39,-37,68,1729,0,9.742694,13,-610,10,0,0
0,-39,-34,66,1729,0,9.7938,14,-610,8,0,0
0,-39,-30,67,1729,0,9.844848,17,-609,6,0,0
0,-39,-27,67,1729,0,9.895716,19,-609,4,0,0
0,-39,-23,67,1729,0,9.946797,20,-609,2,0,0
0,-38,-20,67,1729,0,9.997988,23,-609,0,0,0
0,-38,-17,66,1729,0,10.04873,24,-609,0,0,0
0,-38,-13,66,1729,0,10.09973,29,-609,-2,0,0
0,-39,-10,66,1729,0,10.15111,30,-609,-4,0,0
0,-38,-7,66,1729,0,10.20191,31,-610,-6,0,0
0,-38,-3,66,1729,0,10.30391,32,-610,-8,0,0
0,-38,0,65,1729,0,10.30391,33,-610,-10,0,0
0,-38,3,65,1729,0,10.35483,33,-611,-10,0,0
0,-38,7,65,1729,0,10.40593,33,-611,-12,0,0
0,-38,10,64,1729,0,10.45703,33,-612,-12,0,0
0,-38,13,64,1729,0,10.55872,33,-613,-14,0,0
0,-39,17,64,1729,0,10.55872,32,-614,-14,0,0
0,-39,20,64,1729,0,10.61001,31,-614,-14,0,0
0,-39,23,63,1729,0,10.66087,30,-615,-14,0,0
0,-39,26,63,1729,0,10.71212,27,-616,-14,0,0
0,-39,30,63,1729,0,10.76308,26,-616,-14,0,0
0,-39,33,62,1729,0,10.81395,25,-617,-14,0,0
0,-39,36,62,1729,0,10.86495,23,-618,-12,0,0
0,-39,39,62,1729,0,10.91623,20,-618,-12,0,0
0,-39,42,61,1729,0,10.96692,17,-619,-12,0,0
0,-39,45,61,1729,0,11.01803,14,-619,-10,0,0
0,-39,48,60,1729,0,11.06906,12,-620,-8,0,0
0,-39,51,60,1729,0,11.11988,5,-620,-8,0,0
0,-39,54,60,1729,0,11.17095,2,-621,-6,0,0
0,-39,57,59,1729,0,11.22245,-1,-621,-4,0,0
0,-39,60,59,1729,0,11.27295,-4,-621,-2,0,0
0,-39,63,58,1729,0,11.32415,-6,-621,0,0,0
0,-41,66,58,1729,0,11.37557,-8,-621,0,0,0
0,-41,69,57,1729,0,11.42596,-11,-621,2,0,0
0,-41,72,57,1729,0,11.47705,-12,-621,4,0,0
0,-41,75,56,1729,0,11.52819,-18,-620,6,0,0
0,-41,78,56,1729,0,11.57897,-19,-620,8,0,0
0,-41,81,55,1729,0,11.63014,-20,-620,8,0,0
0,-41,84,55,1729,0,11.68131,-21,-619,10,0,0
0,-41,86,54,1729,0,11.73205,-21,-619,10,0,0
0,-41,89,54,1729,0,11.78313,-23,-618,12,0,0
0,-41,92,53,1729,0,11.8343,-23,-617,12,0,0
0,-41,94,53,1729,0,11.88509,-21,-617,12,0,0
0,-41,97,52,1729,0,11.93619,-21,-616,14,0,0
0,-41,100,52,1729,0,11.98731,-20,-615,14,0,0
0,-41,102,51,1729,0,12.03816,-18,-615,14,0,0
0,-41,105,50,1729,0,12.08919,-17,-614,12,0,0
0,-41,108,50,1729,0,12.14034,-14,-613,12,0,0
0,-41,110,49,1729,0,12.19114,-12,-613,12,0,0
0,-41,113,49,1729,0,12.24223,-5,-612,12,0,0
0,-41,115,48,1729,0,12.29336,-2,-612,10,0,0
0,-41,117,47,1729,0,12.34423,1,-611,8,0,0
0,-41,120,47,1729,0,12.39511,5,-611,8,0,0
0,-41,122,46,1729,0,12.44661,8,-611,6,0,0
0,-41,124,45,1729,0,12.54822,11,-610,6,0,0
0,-41,127,45,1729,0,12.54822,14,-610,4,0,0
0,-41,129,44,1729,0,12.59948,18,-610,2,0,0
0,-39,131,43,1729,0,12.65026,26,-610,0,0,0
0,-39,133,43,1729,0,12.70123,29,-610,-2,0,0
0,-39,136,42,1729,0,12.75247,31,-610,-2,0,0
0,-39,138,41,1729,0,12.80319,35,-610,-4,0,0
0,-39,140,41,1729,0,12.85436,37,-611,-6,0,0
0,-39,142,40,1729,0,12.90545,39,-611,-6,0,0
0,-41,144,39,1729,0,12.95635,41,-611,-8,0,0
0,-39,146,38,1729,0,13.00736,43,-612,-10,0,0
